name,titel,sex,country 1,country 2,line of succession,interest 1,science and technology,social clubs,royal foundation,professional institutions,history and heritage,sport and recreation,healthcare medical and hospices,faith,built environment and architecture,business and industry,arts and culture,armed services,animals,children and young people,environment,agriculture,elderly and retired people,education,community and civic,religion,type,royalhouse
cs,Combat Stress,,british,,,armed services ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
lsh,Lord Strathconas Horse Royal Canadians,,british,canadian,,armed services ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
nza,New Zealand Army,,british,new zealand,,armed services ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
rnc,Plymouth Royal Naval Command,,british,,,armed services ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
ashden,Ashden,,british,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
awc,Australian Wildlife Conservancy,,british,australian,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
bgci,Botanic Gardens Conservation International,,british,international,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
cga,Caring for Gods Acre,,british,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
ci,Conservation International,,british,international,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
go,Garden Organic,,british,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
iicrfcd,Iwokrama International Centre for Rain Forest Conservation and Development,,british,international,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
obg,Oxford Botanic Garden,,british,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
pi,Plantlife International,,british,international,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
sac,Send A Cow,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
cpg,Chelsea Physic Garden,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
flm,Friends of Letheringsett Mill,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
hmdt,Holocaust Memorial Day Trust,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
sdccp,St Davids Cathedral Cloisters Project,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
smpdt,St Marys Priory Development Trust,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tagt,The Alnwick Gardens Trust,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tams,The Ancient Monuments Society,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
ashfohc,The Australian Stockmans Hall of Fame and Outback Heritage Centre,,british,australian,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tbpt,The Bath Preservation Trust,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tcat,The Caithness Archaeological Trust,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
bitc,Business in the Community,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
cola,City of Lancaster,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
colo,City of London,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
gp,Guinness Partnership,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
hhuk,Health and Hope UK,,british,international,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
ikd,In Kind Direct,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
ikdi,In Kind Direct International,,british,international,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
ihp,International Health Partners,,british,international,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
mrnsw,Marine Rescue New South Wales,,british,australian,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
primec,PRIME Cymru,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
DC,Duchess Camilla,,british,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,british
cpgt,Cowbridge Physic Garden Trust,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
dimu,Ditchling Museum,,british,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
dnhs,Dundurn National Historic Site,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
fpt,Fulham Palace Trust,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
stjssct,St Johns Smith Square Charitable Trust,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tct,The Charleston Trust,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
dra,The Dessert Rats Association,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tfm,The Fan Museum,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
fra,The Friends of the Royal Academy,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
maps,The Medway Aircraft Preservation Society,,british,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
b,Barnardos,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
cuk,CleanupUK,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
cf,Community First,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
eswyl,East Sussex Women of the Year Lunch,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
euk,Emmaus UK,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
fa,Floral Angels,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
rblws,The Royal British Legion Womens Section,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
rth,Royal Trinity Hospice,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
rvs,Royal Voluntary Service,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
sjf,St Johns Foundation,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
aruk,Arthritis Research UK,,british,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
caat,Cornwall Air Ambulance Trust,,british,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
coh,Crathie Opportunity Holidays,,british,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
duk,Duchenne UK,,british,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
hdh,Helen and Douglas House,,british,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
mccc,Maggies Cancer Caring Centres,,british,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
mdd,Medical Detection Dogs,,british,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
prho,Prospect Hospice,,british,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
rdmcc,Roald Dahls Marvellous Childrens Charity,,british,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
sb,Shelterbox,,british,international,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
ebs,Elmhurst Ballet School,,british,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
rsluk,Royal Society of Literature of the United Kingdom,,british,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
tfs,Tetbury Film Society,,british,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
lco,The London Chamber Orchestra,,british,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
tll,The London Library,,british,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
nyogb,The National Youth Orchestra Of Great Britain,,british,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
nqho,The New Queens Hall Orchestra,,british,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
pgwsn,The PG Wodehouse Society of the Netherlands,,british,european,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
trb,The Theatre Royal Bath,,british,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
udas,The Upper Deeside Art Society,,british,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
PH,Prince Harry,male,british,,6,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,anglican,0,british
igf,Invictus Games Foundation,,british,international,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
rafh,Royal Air Force Honington,,british,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
rm,Royal Marines,,british,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
ssad,Small Ships and Diving Royal Naval Command,,british,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
trf,The Royal Foundation,,british,,,armed services,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
rfu,Rugby Football Union,,british,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
rfuasp,Rugby Football Union All Schools Programme,,british,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
rfuipf,Rugby Football Union Injured Players Foundation,,british,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tlm,The London Marathon,,british,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
trfl,The Rugby Football League,,british,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
docy,Dolen Cymru,,british,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
hvsmf,Henry van Straubenzee Memorial Fund,,british,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
stb,Sentebale,,british,international,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
wc,WellChild,,british,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
ap,African Parks,,british,international,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
rcb,Rhino Conservation Botswana,,british,international,,animals,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,
DM,Duchess Meghan,female,british,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anglican,0,british
oyw,One Young World,,british,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
unw,UN Women,,british,international,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
wv,World Vision,,british,international,,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
KCG,Carl Gustaf,male,swedish,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,evangelical lutheran,0,swedish
amarfs,The African Medical and Research Foundation Sweden,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
aisc,Allmaenna Idrottsklubben sports club,,swedish,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
ncda,The National Childrens Day Association,,swedish,international,,children and young people ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
dlhs,Djurgården Local History Society,,swedish,,,history and heritag,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
soa,The Swedish Outdoor Association,,swedish,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
sfa,The Swedish Forestry Association ,,swedish,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
fotsiia,The Friends of the Swedish Institute in Athens,,swedish,,,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
sw,Swedes Worldwide,,swedish,international,,professional institutions,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tfotsmonh,The Friends of the Swedish Museum of Natural History,,swedish,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tga,The Gastronomic Academy,,swedish,international,,business and industry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,
tgra,The Gripsholm Association,,swedish,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tjbc,The Jussi Bjoerling Centenary,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
koaml,Kulturen open air museum Lund,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
tracs,The Royal Automobile Club Sweden,,swedish,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
trsaoes,The Royal Swedish Academy of Engineering Sciences,,swedish,,,science and technology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
trsaows,The Royal Swedish Academy of War Sciences,,swedish,,,science and technology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
trsac,The Royal Swedish Aero Club,,swedish,,,social clubs ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
trsaoc,The Royal Swedish Academy of Sciences,,swedish,,,science and technology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
trssons,The Royal Swedish Society of Naval Sciences,,swedish,,,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
tscs,The Swedish Cancer Society,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
svcw,Save Visby City Wall,,swedish,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tns,The Natural Step,,swedish,international,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
tkstf,The Keep Sweden Tidy Foundation,,swedish,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
tstwf,The Stockholm Water Foundation,,swedish,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
tsff,The Swedish Flag Foundation,,swedish,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tswf,The Swedish Wetlands Fund,,swedish,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
tschf,The Stockholm Concert Hall Foundation,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
samc,Stockholm Academic Male Chorus,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
tsas,The Swedish Archaeological Society,,swedish,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tsbis,The Swedish Bible Society,,swedish,,,faith,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,
tsbs,The Swedish Blue Star,,swedish,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tssftpoa,The Swedish Society for the Protection of Animals,,swedish,,,animals,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,
tsafhawm,The Swedish Association for Hunting and Wildlife Management,,swedish,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
tskc,The Swedish Kennel Club,,swedish,,,animals,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,
tslss,The Swedish Life Saving Society ,,swedish,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
sed,Swedish Exercise Day ,,swedish,,,sport and recreation ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tsrm,The Swedish Rotary Movement,,swedish,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
tfotsiir,The Friends of the Swedish Institute in Rome,,swedish,,,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
tsrc,The Swedish Red Cross,,swedish,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
tsta,The Swedish Tourist Association,,swedish,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
tsgasa,The Swedish Guide and Scout Association,,swedish,,,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
tsgasc,The Swedish Guide and Scout Council,,swedish,,,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
tssfaag,The Swedish Society for Anthropology and Geography,,swedish,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tsaf,The Sweden America Foundation,,swedish,american,,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
tsafa,The Swedish Association for Art,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
tslhf,The Swedish Local Heritage Federation,,swedish,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tsl,The Swedish Lions,,swedish,,,sport and recreation ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tssc,The Swedish Sports Confederation,,swedish,,,sport and recreation ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
todcs,The Orphei Draengar Choral Society,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
twpbs,The Wilhelm Peterson Berger Society,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
twsf,The World Scout Foundation,,swedish,international,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
PP,Prince Philip,male,british,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,british
1001ant,1001 A Naature Trust,,british,international,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
bnt,Bahamas National Trust,,british,international,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
bveeari,Bharati Vidyapeeth Environment Education and Research Institute,,british,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
bla,BirdLife Australia,,british,australian,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
bsos,Botanical Society of Scotland,,british,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
beanhs,British Entomological and Natural History Society,,british,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
btfo,British Trust for Ornithology,,british,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
bct,Buxton Conservation Trust,,british,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
cdfftgi,Charles Darwin Foundation for the Galapagos Isles,,british,international,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
culoo,Cornell University Laboratory of Ornithology,,british,international,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
afc,Abbotsford Flying Club,,british,canadian,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
aeltacc,All England Lawn Tennis and Croquet Club,,british,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
aoc,Alvis Owner Club,,british,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
ayrs,Amateur Yacht Research Society,,british,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
aba,Army Boxing Association,,british,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
aobc,Army Officers Boxing Club,,british,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
acds,Australian Carriage Driving Society,,british,australian,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
aobt,Australian Outward Bound Trust,,british,australian,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
arfl,Australian Rugby Football League,,british,australian,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
auf,Australian Underwater Federation,,british,australian,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
aiaonzi,Aviation Industry Association of New Zealand Incorporated,,british,new zealand,,business and industry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,
baca,Baltic Air Charter Association ,,british,,,business and industry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,
bmmc,Belfast Master Mariners Club,,british,,,business and industry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,
caf,Charities Aid Foundation,,british,,,business and industry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,
clmfisc,Charles Lindbergh Memorial Fund International Sponsoring Committee,,british,international,,business and industry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,
ciopad,Chartered Institute of Personnel and Development,,british,,,business and industry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,
cmi,Chartered Management Institute,,british,,,business and industry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,
colc,City of London Club,,british,,,business and industry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,
cdbdmedg,Commanderie du Bontemps de Medoc et des Graves,,british,european,,business and industry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,
cocah,Company of Cutlers and Hallamshire,,british,,,business and industry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,
16s,16 Squadron 1939 until 1945,,british,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
afaoa,Air Force Association of Australia,,british,australian,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
a,Army,,british,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
acf,Army Cadet Force,,british,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
acfa,Army Cadet Force Association,,british,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
aojesaw,Association of Jewish Ex Servicemen and Women,,british,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
amf,Australian Military Forces,,british,australian,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
bafdc,British American Forces Dining Club,,british,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
bsa,Burma Star Association,,british,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
cana,Canadian Army,,british,canadian,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
PW,Prince William,male,british,,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anglican,0,british
tt,Tusk Trust,,british,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
toom,Tuvalu Order of Merit,,british,australian,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
c,Centrepoint,,british,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
cbuk,Child Bereavement UK,,british,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
essa,English Schools Swimming Association,,british,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
macpof,Metropolitan and City Police Orphans Fund,,british,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
sf,Skill Force,,british,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
trac,The Royal Aero Club,,british,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
rafbobmf,Royal Air Force Battle of Britian Memorial Flight,,british,,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
