name,titel,sex,country 1,country 2,line of succession,interest 1,science and technology,social clubs,royal foundation,professional institutions,history and heritage,sport and recreation,healthcare medical and hospices,faith,built environment and architecture,business and industry,arts and culture,armed services,animals,children and young people,environment,agriculture,elderly and retired people,education,community and civic,religion,type,royalhouse
nccrd,Ågrenska the National Competence Centre for Rare Diseases Gothenburg,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
fmfea,The Friends of the Museum of Far Eastern Antiquities,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
PCP,Prince Carl Philip,male,swedish,,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,evangelical lutheran,0,swedish
pcppsf,Prince Carl Philip and Princess Sofias Foundation,,swedish,,,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
sreas,The Swedish Rural Economy and Agricultural Societies,,swedish,,,agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,
iucn,The International Union for Conservation of Nature,,swedish,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
rsmc,The Royal Swedish Motorboat Club,,swedish,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
lbfcf,The Lilla Barnets Fond childrens fund,,swedish,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
bnr,Byamossarna Nature Reserve,,swedish,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
os,Operation Smile,,swedish,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
smbrfcec,The Sigvard and Marianne Bernadotte Research Foundation for Childrens Eye Care,,swedish,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
smbaf,The Sigvard and Marianne Bernadotte Arts Fund,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
rs,Rally Sweden,,swedish,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
pbs,The Peace Berets of Sweden,,swedish,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
vor,The Volvo Ocean Race,,swedish,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
PV,Princess Victoria,female,swedish,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,evangelical lutheran,0,swedish
na,Nordens Ark,,swedish,,,animals,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,
kattf,Karolinska Hospital The Tobias Foundation,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tcdf,The Child Diabetes Foundation,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tswftsjwp,The Stockholm Water Foundation The Stockholm Junior Water Prize,,swedish,,,environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,
talchf,The Astrid Lindgren Childrens Hospital Foundation,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
tsbf,The Swedish Brain Foundation,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
stacpvf,Sveriges Television AB Crown Princess Victorias Fund,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
tfotnmas,The Friends of the Nordic Museum and Skansen,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
tasf,The American Scandinavian Foundation,,swedish,american,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
satbtkas,Stockholmsbriggen AB The Brig Tre Kronor af Stockholm,,swedish,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
