titel,sex,country 1,country 2,line of succession,interest 1,interest 2,interest 3,interest 4,religion,type,royalhouse,short
The Swedish Chamber of Commerce in Germany,,swedish,,,community and civic,,,,,1,,tscocig
Stockholm City Mission,,swedish,,,community and civic,,,,,1,,scm
The Swedish Outdoor Association Skogsmulle and Ur and Skur childrens nature activities,,swedish,,,environment,children and young people,,,,1,,tsoa
Rare Diseases Sweden,,swedish,,,healthcare medical and hospices,,,,,1,,rds
Vaestergoetland Local Heritage Federation,,swedish,,,arts and culture,,,,,1,,vlhf
The International Paralympic Committee,,international,,,sport and recreation,,,,,1,,ipc
The Swedish Beekeepers Association,,swedish,,,environment,animals,,,,1,,tsba
The Swedish Defence UniversityThe SEDU Association,,swedish,,,armed services,education,,,,1,,sedu
The Swedish Crown Princess Couples Foundation,,swedish,,,children and young people,healthcare medical and hospices,,,,1,,tscpcf
The Royal Swedish Academy of Music,,swedish,,,arts and culture,,,,,1,,trsaom
The Friends of the Bernadotte Museum,,swedish,,,arts and culture,,,,,1,,tfotbm
The Royal Swedish Academy of Arts,,swedish,,,arts and culture,,,,,1,,trsaoa
The King Karl XIV Johan Society,,swedish,,,arts and culture,,,,,1,,tkkjs
The Central Committee of Crown Princess Margaretas Veteran Reserve Foundation,,swedish,,,armed services,,,,,1,,tccocmvrf
Sustainable Development Goals Advocates,,international,,,environment,community and civic,,,,1,,sdga
Crown Princess Victorias Fund,,swedish,,,children and young people,healthcare medical and hospices,,,,1,,cpvf
Prince Daniel,male,swedish,,,healthcare medical and hospices,built environment and architecture,,,evangelical lutheran,0,swedish,PD
A Swedish Classic,,swedish,,,sport and recreation,,,,,1,,asc
The Healthy Generation foundation the Swedish Heart Lung Foundation,,swedish,,,healthcare medical and hospices,,,,,1,,thgf
The International Society of Nephrology,,international,,,healthcare medical and hospices,,,,,1,,tison
MOD More Organ Donation,,swedish,,,healthcare medical and hospices,,,,,1,,mod
Royal Swedish Academy of Engineering Sciences,,swedish,,,science and technology,,,,,1,,rsaoes
Princess Madeleine,female,swedish,,7,children and young people,,,,evangelical lutheran,0,swedish,PM
The My Special Day Foundation,,swedish,,,children and young people,healthcare medical and hospices,,,,1,,msdf
Europa Nostra,,european,,,community and civic,,,,,1,,en
Gaevleborg Shieling Association,,swedish,,,art and culture,,,,,1,,gsa
The Royal Gothenburg Yacht Club,,swedish,,,sport and recreation ,,,,,1,,trgyc
Queen Elizabeth II,female,british,,0,all,,,,anglican,0,british,QE
